date,trades,value
1999/10/21,339683,3720969075850
1999/10/22,238549,2398774339400
1999/10/25,278881,2681342191850
1999/10/26,227739,2180199403450
1999/10/27,226602,1929080461300
1999/10/28,242629,2793390454250
1999/10/29,313101,3681510473400
1999/11/01,348220,3948000584350
1999/11/02,401247,4862957279000
1999/11/03,413121,4638889365200
1999/11/04,418853,4694335212850
1999/11/05,413326,5097044314750
1999/11/08,385364,4504873459550
1999/11/09,355506,4614542706400
1999/11/10,422270,5560108312550
1999/11/11,465917,6224465330950
1999/11/12,538907,7350387837350
1999/11/15,471541,5792596163250
1999/11/16,464286,6045442986000
1999/11/17,496358,7047065590800
1999/11/18,384227,4844451419200
1999/11/19,390512,5224628849500
1999/11/22,308438,4231895539650
1999/11/23,277302,3741791296900
1999/11/24,303187,3651768579050
1999/11/25,351882,4922423199450
1999/11/26,310884,4460154794700
1999/11/29,276924,3763805840950
1999/11/30,338998,5476169723000
1999/12/01,294842,5242943248500
1999/12/02,305621,4912673721250
1999/12/03,259368,3771847061600
1999/12/06,258357,3936661221600
1999/12/07,285494,4927979685500
1999/12/08,277927,4402822538800
1999/12/09,329751,5196533735450
1999/12/10,393982,5893377382500
1999/12/13,354426,5226955604800
1999/12/14,399625,5481483437300
1999/12/15,356427,4594767418200
1999/12/16,305273,4106436137950
1999/12/17,295717,3979414468950
1999/12/20,254435,3870384669700
1999/12/21,286049,4076300036350
1999/12/22,300239,4235218420200
1999/12/23,294765,4573663152150
1999/12/24,257328,3683494745600
1999/12/27,233564,4057863292300
1999/12/28,259758,5122929664800
2000/01/04,195898,3771013730900
2000/01/05,257696,4798126219900
2000/01/06,203523,3726898113000
2000/01/07,215664,3696686706000
2000/01/10,240175,3815037999950
2000/01/11,257070,4244168337400
2000/01/12,227079,3352483881600
2000/01/13,223001,3354502940250
2000/01/14,224957,3438219317550
2000/01/17,212058,3390747717950
2000/01/18,212080,3416478518250
2000/01/19,235726,3375139924550
2000/01/20,226684,3170847798450
2000/01/21,255135,3495329467800
2000/01/24,210413,2826008262500
2000/01/25,242591,2674106882500
2000/01/26,231146,2733539165650
2000/01/27,344911,3766460457850
2000/01/28,293137,3858507788950
2000/01/31,289435,3669515868700
2000/02/01,306143,3931047365550
2000/02/02,310406,4284082895500
2000/02/03,277121,4398129286450
2000/02/07,271765,4367938521400
2000/02/08,229490,3574098963700
2000/02/09,240446,3821326029300
2000/02/10,251614,4328262296800
2000/02/11,274780,4189066165100
2000/02/14,234180,3495271413250
2000/02/15,218598,3165602321850
2000/02/16,214045,3066447374900
2000/02/17,212421,3225718556750
2000/02/18,258281,4154668443200
2000/02/21,213794,2640729401500
2000/02/22,244389,2936447309700
2000/02/23,346449,4007155831150
2000/02/24,256688,2912720887050
2000/02/25,255182,2917014125850
2000/02/28,253125,2925441065700
2000/02/29,275728,3379940518600
2000/03/02,317753,4338609310500
2000/03/03,311250,4498416362550
2000/03/06,352623,4073945118850
2000/03/07,339274,3729763236550
2000/03/08,313736,3605247280550
2000/03/09,370033,4477184411850
2000/03/10,330623,3896806820500
2000/03/13,364402,3971215135200
2000/03/14,330753,3361891230800
2000/03/15,312898,3309113326650
2000/03/16,298875,3012746242350
2000/03/17,300844,3267227331300
2000/03/20,227934,2537959529400
2000/03/21,227937,2715598169800
2000/03/22,296027,3944934359850
2000/03/23,254907,3356012188250
2000/03/24,281925,3913616768000
2000/03/27,282359,3725573663300
2000/03/28,262748,3794357746250
2000/03/29,280750,4200497672100
2000/03/30,264077,3783014245550
2000/03/31,214731,2846570860450
2000/04/03,209591,2702716001850
2000/04/04,203031,2651834292300
2000/04/06,172973,2187536555400
2000/04/07,205116,2555764623950
2000/04/10,325320,3586994771900
2000/04/11,255140,2591645023450
2000/04/12,213510,2333327713400
2000/04/14,229815,2563918620400
2000/04/17,287741,2967822961100
2000/04/18,273026,3194868865250
2000/04/19,292378,3061259210550
2000/04/20,204060,1883425188000
2000/04/21,202142,1881393262750
2000/04/24,176656,1673783281650
2000/04/25,168481,1679122632600
2000/04/26,241941,2644279982950
2000/04/27,224445,2611006428750
2000/04/28,228151,2721730339450
2000/05/02,195974,2706552987850
2000/05/03,179778,2029348789100
2000/05/04,190225,2011234191100
2000/05/08,195512,2249240908150
2000/05/09,181010,1744045392500
2000/05/10,193571,1661810596500
2000/05/12,189057,1822940958150
2000/05/15,193275,1743726086250
2000/05/16,172348,1663440912850
2000/05/17,219006,2523947942750
2000/05/18,201440,1753476942500
2000/05/19,196287,1973791081850
2000/05/22,176623,1570114331100
2000/05/23,211387,1797884226800
2000/05/24,289350,2416950445050
